iter	Passed	Remaining
0	0	93
1	1	83
2	2	78
3	2	71
4	3	74
5	4	74
6	5	73
7	6	72
8	7	71
9	7	70
10	8	68
11	9	67
12	9	66
13	10	65
14	11	64
15	11	62
16	12	62
17	13	61
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	51
31	23	50
32	24	49
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	34	37
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	30
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
